Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
IC7;MCP6004;SO14;124.3711;-90.0811;0.0;top
IC8;4051PW;TSSOP16;198.0311;-92.0186;-90.0;top
IC9;MCP6002;SO08;78.9686;-93.5736;-90.0;top
IC10;STM32F405RGT6;TQFP-10X10-64;165.0238;-93.5482;-90.0;top
IC11;4051PW;TSSOP16;198.0311;-106.9411;-90.0;top
IC13;MCP6004;SO14;114.5286;-115.4811;0.0;top
IC14;TL072;SO08;136.7536;-115.4811;0.0;top
J1;PJ301_THONKICONN6;WQP_PJ_301M6;72.6186;-104.73055;180.0;top
J2;PJ301_THONKICONN6;WQP_PJ_301M6;84.6836;-104.73055;180.0;top
J3;PJ301_THONKICONN6;WQP_PJ_301M6;72.6186;-120.28805;180.0;top
J4;PJ301_THONKICONN6;WQP_PJ_301M6;84.6836;-120.28805;180.0;top
J5;PJ301_THONKICONN6;WQP_PJ_301M6;72.6186;-135.84555;180.0;top
J6;PJ301_THONKICONN6;WQP_PJ_301M6;84.6836;-135.84555;180.0;top
J7;PJ301_THONKICONN6;WQP_PJ_301M6;72.6186;-151.40305;180.0;top
J8;PJ301_THONKICONN6;WQP_PJ_301M6;84.6836;-151.40305;180.0;top
J9;PJ301_THONKICONN6;WQP_PJ_301M6;100.2411;-151.40305;180.0;top
J10;PJ301_THONKICONN6;WQP_PJ_301M6;113.2586;-151.40305;180.0;top
J11;PJ301_THONKICONN6;WQP_PJ_301M6;126.2761;-151.40305;180.0;top
J12;PJ301_THONKICONN6;WQP_PJ_301M6;139.2936;-151.40305;180.0;top
J13;PJ301_THONKICONN6;WQP_PJ_301M6;152.3111;-151.40305;180.0;top
J14;PJ301_THONKICONN6;WQP_PJ_301M6;171.6786;-151.40305;180.0;top
J15;PJ301_THONKICONN6;WQP_PJ_301M6;184.6961;-151.40305;180.0;top
J16;PJ301_THONKICONN6;WQP_PJ_301M6;197.7136;-151.40305;180.0;top
J17;PJ301_THONKICONN6;WQP_PJ_301M6;210.7311;-151.40305;180.0;top
J18;PJ301_THONKICONN6;WQP_PJ_301M6;223.7486;-151.40305;180.0;top
J19;Conn_02x05_Odd_Even;PinHeader_2x05_P2.54mm_Vertical_SMD;162.0;-60.9;180.0;bottom
JP1;M05X2MINIJTAG;2X5-1.27;182.64505;-102.1461;0.0;bottom
JP2;M06SIP;1X06;228.345;-80.745;270.0;bottom
