Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C48,100n,C0402,164.5,-116.7,0.0,top
C49,100n,C0402,154.8,-116.7,0.0,top
C50,10u,PANASONIC_B,154.99,-127.89,90.0,top
C51,100n,C0402,123.0911,-130.56235,0.0,top
C52,100n,C0402,134.8386,-130.56235,180.0,top
C53,100n,C0402,147.8561,-130.56235,180.0,top
C54,100n,C0402,160.8736,-130.56235,180.0,top
C55,100n,C0402,173.8911,-130.56235,180.0,top
C56,1.0n,C0402,124.3612,-62.45855,180.0,top
D1,1N5819HW,SOD123,173.2071,-84.52485,-90.0,top
D2,BAT54S,SOT23,148.9677,-87.38215,0.0,top
D3,1N5819HW,SOD123,173.2071,-90.23985,-90.0,top
D4,TVS,0603,159.9211,-136.27735,-90.0,top
D5,TVS,0603,171.1923,-136.43615,-90.0,top
D6,TVS,0603,159.9211,-140.08735,-90.0,top
D7,TVS,0603,148.4911,-141.19865,-90.0,top
D8,TVS,0603,120.7098,-144.53235,180.0,top
D9,TVS,0603,130.2349,-144.69115,0.0,top
D10,TVS,0603,125.6311,-156.12115,-90.0,top
D11,TVS,0603,137.2198,-156.12115,-90.0,top
IC1,STM32F373CCT6,LQFP48,147.221,-64.20485,-90.0,top
IC2,4051PW,TSSOP16_065,127.695,-65.66435,-90.0,top
IC3,R-78E3.3-0.5,WE78,177.9411,-68.01485,90.0,top
IC4,DAC8565,TSSOP-16_4.4x5mm_P0.65mm,158.3336,-68.49115,90.0,top
IC5,LD2981ABU33,SOT89,163.4136,-92.17485,180.0,top
IC6,MCP6004,TSSOP14_065,136.7436,-98.17735,-90.0,top
IC7,MCP6004,TSSOP14_065,136.7436,-109.92485,-90.0,top
IC8,TLV4172,SOIC-14_3.9x8.7mm_P1.27mm,163.9,-112.2,90.0,top
IC9,TLV4172,SOIC-14_3.9x8.7mm_P1.27mm,154.2,-112.2,90.0,top
IC10,LM4040B10,DBZ_R-PDSO-G3,146.3063,-113.019,180.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,119.9161,-137.2743,180.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,131.3461,-137.2743,180.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,142.7761,-137.2743,180.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,154.2061,-137.2743,180.0,top
J5,PJ301_THONKICONN6,WQP_PJ_301M6,165.6361,-137.2743,180.0,top
J6,PJ301_THONKICONN6,WQP_PJ_301M6,177.0661,-137.2743,180.0,top
J7,PJ301_THONKICONN6,WQP_PJ_301M6,119.9161,-151.8793,180.0,top
J8,PJ301_THONKICONN6,WQP_PJ_301M6,131.3461,-151.8793,180.0,top
J9,PJ301_THONKICONN6,WQP_PJ_301M6,142.7761,-151.8793,180.0,top
J10,PJ301_THONKICONN6,WQP_PJ_301M6,154.2061,-151.8793,180.0,top
J11,PJ301_THONKICONN6,WQP_PJ_301M6,165.6361,-151.8793,180.0,top
J12,PJ301_THONKICONN6,WQP_PJ_301M6,177.0661,-151.8793,180.0,top
JP1,FIDUCIAL1X2,FIDUCIAL-1X2,115.7886,-53.72735,0.0,top
JP2,FIDUCIAL1X2,FIDUCIAL-1X2,181.1936,-53.72745,0.0,top
JP3,FIDUCIAL1X2,FIDUCIAL-1X2,115.7886,-156.59735,0.0,top
JP4,FIDUCIAL1X2,FIDUCIAL-1X2,181.1935,-156.59735,0.0,top
JP5,M05X2SHD,2X5-SHROUDED,178.0186,-88.65235,180.0,bottom
JP6,M04PTH,1X04,156.4286,-55.63235,0.0,bottom
JP7,M02PTH,1X02,148.1736,-55.63235,180.0,bottom
L1,33u,L2012C,179.9236,-76.90485,90.0,top
L2,WE-CBF_0603,0603,171.9861,-83.35485,90.0,top
L3,WE-CBF_0603,0603,162.9961,-86.42985,0.0,top
L4,WE-CBF_0603,0603,173.5736,-94.46735,90.0,top
LED1,W115WSURKMGKW,LED-BICOLOR-THROUGHHOLE-2.54,126.653074,-57.21985,90.0,top
LED2,W115WSURKMGKW,LED-BICOLOR-THROUGHHOLE-2.54,170.329125,-57.21985,-90.0,top
LED3,W115WSURKMGKW,LED-BICOLOR-THROUGHHOLE-2.54,148.4911,-74.739875,180.0,top
LED4,3BC-F,LED3MM,139.2836,-145.30235,180.0,top
LED5,3BC-F,LED3MM,150.7136,-145.30235,180.0,top
LED6,3BC-F,LED3MM,162.1436,-145.30235,180.0,top
LED7,3BC-F,LED3MM,173.5736,-145.30235,180.0,top
Q1,8MHz,CTS406,136.6934,-62.92985,90.0,top
R1,2.4k,R0402,129.1236,-55.31485,90.0,top
R2,1.5k,R0402,167.8586,-56.90235,90.0,top
R3,10k,R0402,154.2061,-57.53715,180.0,top
R4,100,R0402,146.2686,-57.53725,180.0,top
R5,100,R0402,148.8085,-57.53725,180.0,top
R6,1.5k,R0402,129.1236,-57.53735,-90.0,top
R7,2.4k,R0402,167.8586,-59.12485,-90.0,top
R8,100,R0402,140.871,-63.09345,180.0,top
R9,100,R0402,140.8709,-64.04615,180.0,top
R10,1.5k,R0402,150.8725,-72.77725,0.0,top
R11,10kB,ALPS_POT_VERTICAL_PS,129.4411,-75.7,180.0,top
R12,10kB,ALPS_POT_VERTICAL_PS,167.5411,-75.7,180.0,top
R13,2.4k,R0402,144.0463,-74.84105,0.0,top
R14,130k,R0402,157.8574,-76.26975,90.0,top
R15,100k,R0402,158.4923,-77.85735,180.0,top
R16,100k,R0402,132.6161,-92.62115,180.0,top
R17,100k,R0402,140.871,-92.62125,0.0,top
R18,20k,R0402,133.7275,-93.73235,180.0,top
R19,20k,R0402,139.7599,-93.73235,0.0,top
R20,120k,R0402,132.1399,-94.36725,90.0,top
R21,120k,R0402,141.3473,-94.36725,-90.0,top
R22,10kB,ALPS_POT_VERTICAL_PS,148.4911,-97.798,180.0,top
R23,10kB,ALPS_POT_VERTICAL_PS,124.6786,-102.878,180.0,top
R24,10kB,ALPS_POT_VERTICAL_PS,172.3036,-102.878,180.0,top
R25,120k,R0402,141.3475,-101.82845,90.0,top
R26,390k,R0402,132.14,-101.82865,90.0,top
R27,20k,R0402,139.7599,-102.46345,0.0,top
R28,130k,R0402,133.7275,-102.46355,180.0,top
R29,100k,R0402,132.6162,-103.41605,180.0,top
R30,100k,R0402,141.0297,-103.41615,0.0,top
R31,20k,R0402,154.0075,-101.6775,180.0,top
R32,20k,R0402,157.499999,-101.677501,0.0,top
R33,20k,R0402,161.0,-101.6775,180.0,top
R34,20k,R0402,164.4924,-101.677501,0.0,top
R35,100k,R0402,132.6161,-104.52745,180.0,top
R36,100k,R0402,140.7124,-104.52745,0.0,top
R37,130k,R0402,133.7274,-105.63855,180.0,top
R38,130k,R0402,157.4999,-102.788701,180.0,top
R39,130k,R0402,161.0,-102.7887,0.0,top
R40,130k,R0402,164.4924,-102.7887,180.0,top
R41,20k,R0402,139.7598,-105.63865,0.0,top
R42,130k,R0402,154.0074,-102.7888,0.0,top
R43,120k,R0402,141.3473,-106.27345,-90.0,top
R44,390k,R0402,132.1398,-106.27395,-90.0,top
R45,1.0k,R0603,158.0,-106.6,-90.0,top
R46,1.5k,R0402,145.9888,-110.6374,180.0,top
R47,1.0k,R0603,151.5,-106.7,0.0,top
R48,1.0k,R0603,160.2,-106.6,-90.0,top
R49,1.0k,R0603,166.4,-106.7,180.0,top
R50,140k,R0402,141.3472,-113.57605,-90.0,top
R51,120k,R0402,132.1396,-113.57625,-90.0,top
R52,20k,R0402,133.7273,-114.21115,180.0,top
R53,33k,R0402,139.76,-114.21125,0.0,top
R54,100k,R0402,139.6013,-115.32235,180.0,top
R55,100k,R0402,133.8861,-115.32255,0.0,top
R56,10kB,ALPS_POT_VERTICAL,122.4561,-122.7305,180.0,top
R57,10kB,ALPS_POT_VERTICAL,135.4736,-122.7305,180.0,top
R58,10kB,ALPS_POT_VERTICAL,148.4911,-122.7305,180.0,top
R59,10kB,ALPS_POT_VERTICAL,161.5086,-122.7305,180.0,top
R60,10kB,ALPS_POT_VERTICAL,174.5261,-122.7305,180.0,top
R61,10k,R0402,137.0611,-134.37235,0.0,top
R62,10k,R0402,134.8387,-145.80235,0.0,top
R63,10k,R0402,134.8387,-146.91345,0.0,top
R64,1.0k,R0402,137.3786,-148.65975,-90.0,top
R65,1.0k,R0402,148.8086,-148.65985,-90.0,top
R66,1.0k,R0402,160.2386,-148.65985,-90.0,top
R67,1.0k,R0402,171.6686,-148.65985,-90.0,top
SW1,TAC_SWITCHPTH,TACTILE-PTH,176.4312,-57.21975,-90.0,top
SW2,TAC_SWITCHPTH,TACTILE-PTH,120.5511,-57.21985,90.0,top
SW3,TAC_SWITCHPTH,TACTILE-PTH,148.4911,-79.76235,180.0,top
