Comment,Designator,Footprint,LCSC
100n,C6,C0402,
TVS,D10,0603,
100n,C2,C0402,
100n,C3,C0402,
20k,R31,R0402,
MCP6004,IC6,TSSOP14_065,
PJ301_THONKICONN6,J4,WQP_PJ_301M6,
100n,C43,C0402,
22u,C25,C1206,
1.0k,R64,R0402,
3BC-F,LED4,LED3MM,
WE-CBF_0603,L4,0603,
1u,C21,C0402,
1u,C16,C0402,
20k,R18,R0402,
10u,C9,PANASONIC_A,
1u,C12,C0402,
100n,C35,C0402,
TVS,D9,0603,
R-78E3.3-0.5,IC3,WE78,
WE-CBF_0603,L2,0603,
100n,C49,C0402,
20k,R33,R0402,
DAC8565,IC4,TSSOP-16_4.4x5mm_P0.65mm,
4051PW,IC2,TSSOP16_065,
1.5k,R10,R0402,
10kB,R24,ALPS_POT_VERTICAL_PS,
20k,R19,R0402,
10kB,R56,ALPS_POT_VERTICAL,
20k,R52,R0402,
100k,R55,R0402,
33k,R53,R0402,
2.4k,R1,R0402,
140k,R50,R0402,
10k,R63,R0402,
10kB,R12,ALPS_POT_VERTICAL_PS,
100p,C31,C0402,
PJ301_THONKICONN6,J6,WQP_PJ_301M6,
10k,R3,R0402,
TVS,D11,0603,
M02PTH,JP7,1X02,
M04PTH,JP6,1X04,
M05X2SHD,JP5,2X5-SHROUDED,
