Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED4,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-81.8261,0.0,top
LED5,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-87.2236,0.0,top
LED6,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-92.6211,0.0,top
LED7,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-98.0186,0.0,top
LED8,SSL-LX3059IGW-CA,LED-BICOLOR-THROUGHHOLE-LUMEX,148.4911,-103.4161,0.0,top
Q1,8MHz,CTS406,125.2636,-84.0436,90.0,top
R1,10kB,ALPS_POT_VERTICAL_PS,130.3936,-71.28675,180.0,top
R2,10kB,ALPS_POT_VERTICAL_PS,166.5886,-71.28675,180.0,top
R3,10k,R0402,154.8411,-71.0311,0.0,top
R4,10k,R0402,134.9974,-75.1586,180.0,top
R5,100,R0402,129.7587,-83.2547,180.0,top
R6,100,R0402,129.7586,-84.2074,180.0,top
R7,10kB,ALPS_POT_VERTICAL_PS,129.1236,-98.59175,180.0,top
R8,10kB,ALPS_POT_VERTICAL_PS,167.8586,-98.59175,180.0,top
R9,100,R0402,124.2024,-103.0986,90.0,top
R10,100,R0402,124.2024,-105.7973,90.0,top
R11,2.2k,R0402,157.2224,-106.5911,90.0,top
R12,2.2k,R0402,158.6511,-106.5911,90.0,top
R13,100k,R0402,156.4286,-109.4486,90.0,top
R14,100k,R0402,136.4261,-110.0836,0.0,top
R15,100k,R0402,142.4586,-110.0836,180.0,top
R16,10k,R0402,169.4461,-110.4011,180.0,top
R17,56k,R0402,123.7261,-110.7186,-90.0,top
R18,33k,R0402,134.5211,-110.7186,-90.0,top
R19,20k,R0402,144.3636,-110.7186,-90.0,top
R20,33k,R0402,155.1586,-110.7186,-90.0,top
R21,10k,R0402,161.5086,-111.0361,90.0,top
R22,33k,R0402,162.7786,-111.0361,-90.0,top
R23,120k,R0402,142.4586,-111.3536,180.0,top
R24,100k,R0402,121.1861,-111.9886,-90.0,top
R25,200k,R0402,122.4561,-111.9886,-90.0,top
