Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
IC7,MCP6004,SO14,160.5761,-114.8461,0.0,top
IC8,LM4040B10,DBZ_R-PDSO-G3,123.4286,-132.3086,0.0,top
IC9,TL074D,SO14,135.1761,-134.2136,0.0,top
IC10,TL072,SO08,161.8461,-136.1186,0.0,top
J1,PJ301_THONKICONN6,WQP_PJ_301M6,115.76415,-151.9936,90.0,top
J2,PJ301_THONKICONN6,WQP_PJ_301M6,128.46415,-151.9936,90.0,top
J3,PJ301_THONKICONN6,WQP_PJ_301M6,141.16415,-151.9936,90.0,top
J4,PJ301_THONKICONN6,WQP_PJ_301M6,153.86415,-151.9936,90.0,top
J5,PJ301_THONKICONN6,WQP_PJ_301M6,166.56415,-151.9936,90.0,top
J6,PJ301_THONKICONN6,WQP_PJ_301M6,181.25805,-151.9936,-90.0,top
J7,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Horizontal_SMD,121.0,-142.5,180.0,top
JP1,M05X2PTH,AVR_ICSP,184.4013,-138.9761,0.0,bottom
JP2,M05X2MINIJTAG,AVR_ICSP,111.6698,-87.04,180.0,bottom
Q1,MMBT3904,SOT23-BEC,117.7136,-56.1086,90.0,top
Q2,MMBT3904,SOT23-BEC,125.9686,-56.1086,90.0,top
Q3,MMBT3904,SOT23-BEC,134.2236,-56.1086,90.0,top
Q4,MMBT3904,SOT23-BEC,161.2111,-56.1086,90.0,top
Q5,8MHz,HC49UP,134.5411,-100.8761,180.0,top
Q6,MMBT3904,SOT23-BEC,132.9536,-110.0836,0.0,top
R1,1.0k,R0603,120.8886,-56.1086,-90.0,top
R2,1.0k,R0603,129.1436,-56.1086,-90.0,top
R3,1.0k,R0603,137.3986,-56.1086,-90.0,top
R4,100,R0603,141.8436,-56.1086,-90.0,top
R5,100,R0603,144.3836,-56.1086,-90.0,top
R6,100,R0603,146.9236,-56.1086,-90.0,top
R7,100,R0603,149.4636,-56.1086,-90.0,top
R8,100,R0603,152.0036,-56.1086,-90.0,top
R9,100,R0603,154.5436,-56.1086,-90.0,top
R10,100,R0603,158.0361,-56.1086,-90.0,top
R11,1.0k,R0603,164.3861,-56.1086,-90.0,top
R12,100,R0603,165.9736,-75.4761,180.0,top
R13,100,R0603,143.1136,-80.2386,90.0,top
R14,100,R0603,145.6536,-80.2386,90.0,top
R15,100,R0603,148.1936,-80.2386,90.0,top
R16,100,R0603,150.7336,-80.2386,90.0,top
R17,100,R0603,153.2736,-80.2386,90.0,top
R18,100,R0603,155.8136,-80.2386,90.0,top
R19,10kB,ALPS_POT_VERTICAL_PS,121.8411,-96.68675,180.0,top
R20,10kB,ALPS_POT_VERTICAL_PS,148.5111,-96.68675,180.0,top
R21,10kB,ALPS_POT_VERTICAL_PS,175.1811,-96.68675,180.0,top
R22,10k,R0603,113.635,-100.1113,90.0,top
R23,1.0k,R0603,181.8486,-101.1936,90.0,top
R24,100k,R0603,174.2286,-104.3686,0.0,top
R25,49.9k,R0603,157.4011,-108.4961,180.0,top
R26,49.9k,R0603,163.7511,-108.4961,0.0,top
R27,10k,R0603,130.4136,-110.0836,-90.0,top
R28,200k,R0603,154.2261,-111.3536,0.0,top
R29,100k,R0603,129.7786,-112.3061,0.0,top
R30,24.9k,R0603,154.2261,-112.9411,0.0,top
R31,24.9k,R0603,154.2261,-114.8461,0.0,top
R32,200k,R0603,154.2261,-116.4336,0.0,top
R33,10k,R0603,113.0,-120.7488,90.0,top
R34,24.9k,R0603,157.4011,-121.1961,180.0,top
R35,24.9k,R0603,163.7511,-121.1961,0.0,top
R36,10kB,ALPS_POT_VERTICAL_PS,121.8411,-123.35675,180.0,top
R37,10kB,ALPS_POT_VERTICAL_PS,148.5111,-123.35675,180.0,top
R38,10kB,ALPS_POT_VERTICAL_PS,175.1811,-123.35675,180.0,top
R39,120k,R0603,157.4011,-122.7836,0.0,top
R40,200k,R0603,163.7511,-122.7836,0.0,top
R41,24.9k,R0603,157.4011,-124.3711,0.0,top
R42,24.9k,R0603,163.7511,-124.3711,0.0,top
R43,24.9k,R0603,132.0011,-129.1336,180.0,top
R44,24.9k,R0603,138.3511,-129.1336,0.0,top
R45,39k,R0603,165.3386,-129.7686,0.0,top
R46,39k,R0603,162.7986,-130.7211,90.0,top
R47,100k,R0603,142.7961,-132.3086,180.0,top
R48,100k,R0603,148.5111,-135.8011,90.0,top
R49,4.7,R1206,176.7686,-136.4361,-90.0,top
R50,24.9k,R0603,158.0361,-138.0236,-90.0,top
R51,330,R0603,125.0161,-136.4361,180.0,top
R52,24.9k,R0603,132.0011,-139.2936,180.0,top
R53,24.9k,R0603,138.3511,-139.2936,0.0,top
R54,100k,R0603,138.3511,-140.8811,180.0,top
R55,1.0k,R0603,159.9411,-142.1511,90.0,top
R56,100k,R0603,163.1161,-142.1511,90.0,top
SW1,EC12E_SW,ALPS_EC12E_SW,175.1811,-68.4236,0.0,top
SW2,EVQQ2,EVQ-Q2,113.0,-105.1913,-90.0,top
SW3,EVQQ2,EVQ-Q2,113.0,-115.6688,-90.0,top
UC1,STM32F103CBT6,LQFP48,135.8111,-90.3986,0.0,top
